ds,y
10/18,0
11/18,8
12/18,11
1/19,21
2/19,23
3/19,36
4/19,42
5/19,45
6/19,51
7/19,56
8/19,63
9/19,65
10/19,70
11/19,77
12/19,79
1/20,90
2/20,94
3/20,103
4/20,103
5/20,105
6/20,119
7/20,132
8/20,143
9/20,154
10/20,164
11/20,174
12/20,185
1/21,188
2/21,203
3/21,218
4/21,228
5/21,240
6/21,250
7/21,263
8/21,285
9/21,298
10/21,312
11/21,329
12/21,345
1/22,351
2/22,365
3/22,380
4/22,399
5/22,406
6/22,418
7/22,425
8/22,433
9/22,442
10/22,450
11/22,465
12/22,482
1/23,488
2/23,500
3/23,516
4/23,524
5/23,537
6/23,551
7/23,561
8/23,571
9/23,581
10/23,594
