ds,y
11/7/18,1
11/7/18,2
11/16/18,3
11/16/18,4
11/16/18,5
11/16/18,6
12/11/18,7
12/17/18,8
12/17/18,9
12/17/18,10
12/17/18,11
1/7/19,12
1/7/19,13
1/7/19,14
1/8/19,15
1/8/19,16
1/16/19,17
1/16/19,18
1/16/19,19
1/30/19,20
1/30/19,21
2/12/19,22
2/12/19,23
3/1/19,24
3/1/19,25
3/1/19,26
3/7/19,27
3/7/19,28
3/7/19,29
3/11/19,30
3/15/19,31
3/20/19,32
3/29/19,33
3/29/19,34
3/29/19,35
3/29/19,36
4/17/19,37
4/19/19,38
4/19/19,39
4/19/19,40
4/29/19,41
4/29/19,42
5/20/19,43
5/20/19,44
5/21/19,45
6/5/19,46
6/5/19,47
6/5/19,48
6/5/19,49
6/7/19,50
6/7/19,51
7/1/19,52
7/1/19,53
7/1/19,54
7/1/19,55
7/1/19,56
8/7/19,57
8/7/19,58
8/23/19,59
8/23/19,60
8/29/19,61
8/29/19,62
8/29/19,63
9/20/19,64
9/20/19,65
10/17/19,66
10/17/19,67
10/17/19,68
10/17/19,69
10/17/19,70
11/1/19,71
11/1/19,72
11/1/19,73
11/1/19,74
11/1/19,75
11/1/19,76
11/8/19,77
12/9/19,78
12/30/19,79
1/15/20,80
1/15/20,81
1/15/20,82
1/15/20,83
1/15/20,84
1/15/20,85
1/23/20,86
1/23/20,87
1/23/20,88
1/23/20,89
1/23/20,90
2/11/20,91
2/25/20,92
2/27/20,93
2/27/20,94
3/5/20,95
3/5/20,96
3/9/20,97
3/9/20,98
3/9/20,99
3/9/20,100
3/9/20,101
3/20/20,102
3/27/20,103
5/26/20,104
5/29/20,105
6/1/20,106
6/5/20,107
6/5/20,108
6/8/20,109
6/12/20,110
6/12/20,111
6/12/20,112
6/18/20,113
6/29/20,114
6/29/20,115
6/29/20,116
6/29/20,117
6/29/20,118
6/29/20,119
7/1/20,120
7/1/20,121
7/6/20,122
7/15/20,123
7/15/20,124
7/15/20,125
7/24/20,126
7/24/20,127
7/24/20,128
7/24/20,129
7/30/20,130
7/30/20,131
7/30/20,132
8/5/20,133
8/21/20,134
8/21/20,135
8/21/20,136
8/31/20,137
8/31/20,138
8/31/20,139
8/31/20,140
8/31/20,141
8/31/20,142
8/31/20,143
9/2/20,144
9/2/20,145
9/4/20,146
9/10/20,147
9/21/20,148
9/21/20,149
9/21/20,150
9/21/20,151
9/30/20,152
9/30/20,153
9/30/20,154
10/5/20,155
10/5/20,156
10/7/20,157
10/7/20,158
10/7/20,159
10/20/20,160
10/27/20,161
10/27/20,162
10/29/20,163
10/30/20,164
11/4/20,165
11/4/20,166
11/4/20,167
11/4/20,168
11/13/20,169
11/13/20,170
11/19/20,171
11/27/20,172
11/27/20,173
11/27/20,174
12/3/20,175
12/9/20,176
12/9/20,177
12/9/20,178
12/9/20,179
12/10/20,180
12/14/20,181
12/18/20,182
12/18/20,183
12/22/20,184
12/30/20,185
1/14/21,186
1/14/21,187
1/14/21,188
2/1/21,189
2/4/21,190
2/4/21,191
2/4/21,192
2/4/21,193
2/4/21,194
2/4/21,195
2/12/21,196
2/12/21,197
2/12/21,198
2/17/21,199
2/17/21,200
2/17/21,201
2/17/21,202
2/24/21,203
3/1/21,204
3/1/21,205
3/1/21,206
3/1/21,207
3/3/21,208
3/3/21,209
3/8/21,210
3/11/21,211
3/11/21,212
3/17/21,213
3/17/21,214
3/23/21,215
3/24/21,216
3/24/21,217
3/29/21,218
4/1/21,219
4/5/21,220
4/9/21,221
4/12/21,222
4/20/21,223
4/20/21,224
4/21/21,225
4/22/21,226
4/26/21,227
4/27/21,228
5/5/21,229
5/5/21,230
5/6/21,231
5/11/21,232
5/11/21,233
5/13/21,234
5/17/21,235
5/17/21,236
5/21/21,237
5/21/21,238
5/21/21,239
5/24/21,240
6/1/21,241
6/1/21,242
6/7/21,243
6/7/21,244
6/15/21,245
6/16/21,246
