ds,y
10/7/19,410.22
10/8/19,415.89
10/9/19,417.3
10/10/19,414.47
10/11/19,415.89
10/12/19,416.45
10/13/19,415.32
10/14/19,413.34
10/15/19,415.32
10/16/19,413.9
10/17/19,413.34
10/18/19,417.3
10/19/19,420.14
10/20/19,415.89
10/21/19,415.6
10/22/19,414.19
10/23/19,413.34
10/24/19,413.34
10/25/19,415.6
10/26/19,414.19
10/27/19,415.89
10/28/19,413.9
10/29/19,411.07
10/30/19,414.19
10/31/19,416.74
11/1/19,411.35
11/2/19,411.63
11/3/19,412.49
11/4/19,412.77
11/5/19,416.74
11/6/19,410.78
11/7/19,412.49
11/8/19,412.77
11/9/19,410.22
11/10/19,413.62
11/11/19,413.9
11/12/19,413.62
11/13/19,413.9
11/14/19,409.93
11/15/19,409.37
11/16/19,410.22
11/17/19,414.47
11/18/19,409.08
11/19/19,411.63
11/20/19,411.07
11/21/19,407.38
11/22/19,413.34
11/23/19,415.32
11/24/19,415.04
11/25/19,414.47
11/26/19,415.6
11/27/19,417.3
11/28/19,464.36
11/29/19,404.55
11/30/19,410.5
12/1/19,410.22
12/2/19,407.95
12/3/19,412.2
12/4/19,411.92
12/5/19,412.77
12/6/19,413.9
12/7/19,411.92
12/8/19,415.32
12/9/19,409.65
12/10/19,410.22
12/11/19,409.65
12/12/19,412.2
12/13/19,411.35
12/14/19,413.62
12/15/19,413.34
12/16/19,411.92
12/17/19,414.47
12/18/19,414.47
12/19/19,414.47
12/20/19,414.47
12/21/19,413.9
12/22/19,416.45
12/23/19,414.75
12/24/19,416.74
12/26/19,417.02
12/27/19,416.45
12/28/19,420.71
12/29/19,419.86
12/30/19,420.42
12/31/19,419.29
1/1/20,417.59
1/2/20,413.9
1/3/20,414.19
1/4/20,413.9
1/5/20,415.89
1/6/20,415.89
1/7/20,413.62
1/8/20,416.17
1/9/20,416.45
1/10/20,418.72
1/11/20,419.29
1/12/20,417.59
1/13/20,416.45
1/14/20,416.17
1/15/20,415.89
1/16/20,412.77
1/17/20,413.62
1/18/20,415.6
1/19/20,417.3
1/20/20,413.05
1/21/20,412.77
1/22/20,415.32
1/23/20,416.74
1/24/20,419.29
1/25/20,419.01
1/26/20,418.72
1/27/20,417.59
1/28/20,417.87
1/29/20,415.32
1/30/20,414.19
1/31/20,417.87
2/1/20,415.89
2/2/20,416.45
2/3/20,412.49
2/4/20,411.92
2/5/20,413.05
2/6/20,409.93
2/7/20,410.78
2/8/20,411.07
2/9/20,410.78
2/10/20,411.63
2/11/20,413.05
2/12/20,413.34
2/13/20,415.6
2/14/20,416.74
2/15/20,413.34
2/16/20,415.89
2/17/20,412.77
2/18/20,413.62
2/19/20,414.75
2/20/20,412.2
2/21/20,413.9
2/22/20,413.34
2/23/20,411.92
2/24/20,412.2
2/25/20,414.19
2/26/20,412.49
2/27/20,414.19
2/28/20,413.62
2/29/20,408.52
3/1/20,409.37
3/2/20,410.78
3/3/20,410.78
3/4/20,409.65
3/5/20,408.23
3/6/20,405.4
3/7/20,406.53
3/8/20,409.37
3/9/20,411.92
3/10/20,409.65
3/11/20,411.92
3/12/20,403.13
3/13/20,408.23
3/14/20,408.52
3/15/20,410.5
3/16/20,405.96
3/17/20,404.83
3/18/20,409.65
3/19/20,409.37
3/20/20,409.08
3/21/20,411.35
3/22/20,410.22
3/23/20,401.15
3/24/20,396.33
3/25/20,377.9
3/27/20,283.49
3/28/20,326.59
3/29/20,283.49
3/30/20,289.45
4/1/20,289.45
4/2/20,202.42
4/3/20,344.16
4/6/20,373.65
4/7/20,133.53
4/10/20,220.56
4/11/20,405.11
4/16/20,191.93
4/17/20,242.96
4/18/20,216.59
4/20/20,324.03
4/24/20,370.24
5/1/20,774.79
5/2/20,277.83
5/4/20,344.16
5/7/20,291.72
5/12/20,301.36
5/18/20,415.04
5/21/20,405.11
5/23/20,255.15
5/25/20,403.7
5/26/20,406.82
5/27/20,407.1
5/28/20,407.1
5/29/20,407.38
5/30/20,409.65
5/31/20,409.93
6/1/20,403.41
6/2/20,407.38
6/3/20,406.25
6/4/20,405.68
6/5/20,405.96
6/6/20,403.7
6/7/20,409.93
6/8/20,404.55
6/9/20,405.11
6/10/20,406.25
6/11/20,405.68
6/12/20,404.55
6/13/20,402.85
6/14/20,404.83
6/15/20,406.25
6/16/20,406.82
6/17/20,405.4
6/18/20,406.25
6/19/20,405.96
6/20/20,407.1
6/21/20,409.65
6/22/20,406.82
6/23/20,407.67
6/24/20,407.95
6/25/20,407.67
6/26/20,406.82
6/27/20,406.53
6/28/20,407.1
6/29/20,407.95
6/30/20,409.65
7/1/20,408.8
7/2/20,406.82
7/3/20,407.67
7/4/20,410.78
7/5/20,408.23
7/6/20,406.25
7/7/20,407.1
7/8/20,406.53
7/9/20,402
7/10/20,402.85
7/11/20,404.26
7/12/20,404.26
7/13/20,403.7
7/14/20,405.4
7/15/20,406.82
7/16/20,404.26
7/17/20,406.53
7/18/20,409.08
7/19/20,411.63
7/20/20,407.67
7/21/20,405.68
7/22/20,407.1
7/23/20,405.68
7/24/20,403.98
7/25/20,405.4
7/26/20,407.67
7/27/20,406.82
7/28/20,407.1
7/29/20,408.23
7/30/20,407.1
7/31/20,407.1
8/1/20,411.07
8/2/20,411.63
8/3/20,409.65
8/4/20,409.08
8/5/20,409.08
8/6/20,407.95
8/7/20,407.1
8/8/20,409.37
8/9/20,411.63
8/10/20,409.93
8/11/20,409.37
8/12/20,407.67
8/13/20,405.96
8/14/20,406.82
8/15/20,407.38
8/16/20,409.37
8/17/20,407.67
8/18/20,407.95
8/19/20,403.98
8/20/20,405.96
8/21/20,407.67
8/22/20,410.78
8/23/20,411.92
8/24/20,407.67
8/25/20,410.5
8/26/20,408.8
8/27/20,407.38
8/28/20,404.26
8/29/20,404.55
8/30/20,406.25
8/31/20,404.55
9/1/20,400.86
9/2/20,402.28
9/3/20,403.98
9/4/20,402.28
9/5/20,405.96
9/6/20,407.95
9/7/20,407.67
9/8/20,405.96
9/9/20,405.4
9/10/20,404.83
9/11/20,406.53
9/12/20,409.93
9/13/20,409.37
9/14/20,405.11
9/15/20,407.1
9/16/20,411.07
9/17/20,403.7
9/18/20,406.25
9/19/20,409.08
9/20/20,409.08
9/21/20,407.1
9/22/20,409.37
9/23/20,406.25
9/24/20,408.52
9/25/20,406.25
9/26/20,406.53
9/27/20,409.08
9/28/20,406.25
9/29/20,407.67
9/30/20,409.37
10/1/20,407.1
10/2/20,409.08
10/3/20,410.78
10/4/20,409.37
10/5/20,406.25
10/6/20,404.55
10/7/20,408.52
10/8/20,410.22
10/9/20,410.22
10/10/20,410.5
10/11/20,413.05
10/12/20,409.08
10/13/20,407.67
10/14/20,407.1
10/15/20,409.08
10/16/20,407.95
10/17/20,408.23
10/18/20,409.93
10/19/20,408.23
10/20/20,407.1
10/21/20,403.41
10/22/20,404.26
10/23/20,406.82
10/24/20,409.08
10/25/20,408.23
10/26/20,408.52
10/27/20,406.25
10/28/20,403.13
10/29/20,407.1
10/30/20,404.83
10/31/20,405.4
11/1/20,408.52
11/2/20,406.53
11/3/20,405.11
11/4/20,409.08
11/5/20,407.95
11/6/20,407.1
11/7/20,407.1
11/8/20,409.08
11/9/20,405.96
11/10/20,404.83
11/11/20,408.23
11/12/20,408.52
11/13/20,405.11
11/14/20,405.11
11/15/20,407.1
11/16/20,401.43
11/17/20,402.56
11/18/20,404.26
11/19/20,406.25
11/20/20,405.4
11/21/20,406.53
11/22/20,407.38
11/23/20,404.55
11/24/20,403.13
11/25/20,403.41
11/26/20,380.17
11/27/20,404.83
11/28/20,407.38
11/29/20,405.96
11/30/20,403.41
12/1/20,403.98
12/2/20,402.85
12/3/20,402.28
12/4/20,402.56
12/5/20,404.55
12/6/20,403.41
12/7/20,399.16
12/8/20,399.73
12/9/20,400.01
12/10/20,401.43
12/11/20,399.44
12/12/20,403.98
12/13/20,404.55
12/14/20,404.26
12/15/20,403.13
12/16/20,402
12/17/20,403.41
12/18/20,403.98
12/19/20,403.98
12/20/20,403.98
12/21/20,400.01
12/22/20,397.74
12/23/20,398.31
12/24/20,396.33
12/25/20,377.62
12/26/20,400.58
12/27/20,399.44
12/28/20,398.03
12/29/20,397.74
12/30/20,400.29
12/31/20,402.56
1/1/21,399.16
1/2/21,404.55
1/3/21,403.7
1/4/21,399.73
1/5/21,399.73
1/6/21,401.71
1/7/21,400.58
1/8/21,398.03
1/9/21,400.29
1/10/21,401.43
1/11/21,400.86
1/12/21,401.15
1/13/21,398.31
1/14/21,403.41
1/15/21,405.4
1/16/21,403.7
1/17/21,403.41
1/18/21,400.58
1/19/21,401.15
1/20/21,401.71
1/21/21,402.85
1/22/21,405.11
1/23/21,405.68
1/24/21,407.1
1/25/21,403.7
1/26/21,402.28
1/27/21,404.83
1/28/21,403.98
1/29/21,405.4
1/30/21,406.82
1/31/21,407.38
2/1/21,402.28
2/2/21,405.11
2/3/21,403.13
2/4/21,403.98
2/5/21,402.28
2/6/21,404.26
2/7/21,401.71
2/8/21,403.7
2/9/21,404.83
2/10/21,403.41
2/11/21,403.98
2/12/21,407.95
2/13/21,408.52
2/14/21,407.1
2/15/21,402.56
2/16/21,399.73
2/17/21,403.13
2/18/21,402.85
2/19/21,402.56
2/20/21,402.56
2/21/21,400.86
2/22/21,403.41
2/23/21,403.7
2/24/21,403.98
2/25/21,403.41
2/26/21,403.7
2/27/21,404.26
2/28/21,402.85
3/1/21,402
3/2/21,403.41
3/3/21,402
3/4/21,403.13
3/5/21,403.98
3/6/21,406.53
3/7/21,405.4
3/8/21,402.56
3/9/21,403.98
3/10/21,399.73
3/11/21,402.85
3/12/21,402.56
3/13/21,404.83
3/14/21,403.98
3/15/21,403.13
3/16/21,398.88
3/17/21,393.49
3/18/21,404.55
3/19/21,404.55
3/20/21,406.53
3/21/21,405.96
3/22/21,402.28
3/23/21,404.26
3/24/21,402
3/25/21,403.98
3/26/21,403.13
3/27/21,406.82
3/28/21,406.82
3/29/21,405.11
3/30/21,403.7
3/31/21,403.13
4/1/21,405.4
4/2/21,402
4/3/21,402
4/4/21,402.85
4/5/21,398.59
4/6/21,400.29
4/7/21,401.43
4/8/21,402.56
4/9/21,402.56
4/10/21,405.11
4/11/21,404.26
4/12/21,401.43
4/13/21,401.71
