ds,y
1/1/20,0
1/8/20,25000
1/15/20,4000
1/22/20,202000
1/29/20,2000
2/5/20,28000
2/12/20,40000
2/19/20,0
2/26/20,4000
3/4/20,0
3/11/20,60000
3/18/20,0
3/25/20,0
4/1/20,0
4/8/20,0
4/15/20,0
4/22/20,20000
4/29/20,0
5/6/20,0
5/13/20,14000
5/20/20,0
5/27/20,26500
6/3/20,14000
6/10/20,0
6/17/20,5000
6/24/20,2000
7/1/20,0
7/8/20,9000
7/15/20,0
7/22/20,0
7/29/20,7000
8/5/20,82000
8/12/20,15000
8/19/20,0
8/26/20,63000
9/2/20,14000
9/9/20,2000
9/16/20,6000
9/23/20,25000
9/30/20,30000
10/7/20,21675
10/14/20,49000
10/21/20,10000
10/28/20,23000
11/4/20,43000
11/11/20,2000
11/18/20,13000
11/25/20,57000
12/2/20,16500
12/9/20,25000
12/16/20,598000
12/23/20,0
