Date, Total 
1/30/2023," $3,468.00 "
1/30/2023," $1,734.00 "
1/30/2023," $1,734.00 "
1/31/2023," $6,196.50 "
1/31/2023, $688.50 
2/1/2023," $2,625.00 "
2/1/2023," $1,300.50 "
2/3/2023," $2,484.00 "
2/3/2023," $18,864.00 "
2/3/2023, $649.80 
2/3/2023," $7,588.80 "
2/3/2023," $1,056.00 "
2/3/2023," $2,052.00 "
2/6/2023," $1,200.00 "
2/6/2023," $10,325.00 "
2/8/2023," $9,164.70 "
2/8/2023," $1,980.00 "
2/8/2023," $3,162.00 "
2/8/2023," $1,225.00 "
2/8/2023," $4,207.50 "
2/8/2023, $875.00 
2/8/2023," $5,482.50 "
2/8/2023," $1,050.00 "
2/8/2023," $2,700.00 "
2/8/2023," $9,990.90 "
2/8/2023," $1,400.00 "
2/8/2023," $9,990.90 "
2/8/2023," $1,400.00 "
2/8/2023," $2,006.40 "
2/8/2023," $3,249.00 "
2/8/2023, $-   
2/9/2023," $9,448.60 "
2/9/2023," $14,113.20 "
2/9/2023, $499.98 
2/10/2023, $-   
2/13/2023," $4,560.00 "
2/13/2023," $2,736.00 "
2/13/2023," $9,564.00 "
2/13/2023," $4,104.00 "
2/14/2023, $700.00 
2/14/2023," $9,990.90 "
2/14/2023," $12,933.00 "
2/14/2023," $12,933.00 "
2/14/2023," $5,173.20 "
2/14/2023, $700.00 
2/14/2023, $700.00 
2/14/2023, $700.00 
2/14/2023," $8,928.00 "
2/14/2023," $9,004.00 "
2/15/2023," $1,300.00 "
2/15/2023," $8,661.60 "
2/15/2023," $5,700.00 "
2/15/2023," $20,300.00 "
2/15/2023," $5,615.10 "
2/15/2023, $875.00 
2/15/2023, $875.00 
2/15/2023," $2,325.60 "
2/16/2023, $-   
2/16/2023, $-   
2/16/2023, $-   
2/16/2023, $-   
2/16/2023," $16,187.40 "
2/17/2023," $9,384.00 "
2/17/2023, $650.01 
2/17/2023," $5,250.00 "
2/21/2023," $3,000.00 "
2/21/2023," $5,643.00 "
2/21/2023," $20,400.00 "
2/21/2023," $2,964.00 "
2/21/2023," $9,894.00 "
2/21/2023," $6,196.50 "
2/21/2023," $3,794.40 "
2/21/2023, $840.36 
2/22/2023," $16,416.00 "
2/22/2023, $556.88 
2/22/2023, $-   
2/22/2023, $-   
2/22/2023," $8,940.00 "
2/23/2023," $13,824.00 "
2/23/2023," $10,914.00 "
2/23/2023, $525.00 
2/23/2023," $31,190.40 "
2/23/2023, $399.25 
2/23/2023," $6,777.90 "
2/23/2023, $700.00 
2/23/2023," $3,645.00 "
2/23/2023," $1,400.00 "
2/23/2023," $4,881.60 "
2/25/2023," $14,649.00 "
2/25/2023," $7,774.80 "
2/25/2023," $9,576.00 "
2/25/2023," $5,928.00 "
2/25/2023," $3,094.00 "
2/26/2023," $11,850.36 "
2/27/2023," $3,141.44 "
2/27/2023," $6,344.40 "
2/27/2023, $700.00 
2/27/2023," $7,486.80 "
2/27/2023," $1,400.00 "
2/28/2023," $1,573.20 "
3/1/2023, $-   
3/1/2023, $-   
3/1/2023," $25,234.80 "
3/1/2023, $-   
3/1/2023," $1,400.00 "
3/1/2023, $746.70 
3/1/2023," $4,890.90 "
3/1/2023, $249.53 
